timestamp_column,category_column,occurrence_id
2024-01-01 08:15:00,Electronics,1
2024-01-01 09:30:00,Clothing,2
2024-01-01 10:45:00,Electronics,3
2024-01-01 11:20:00,Books,4
2024-01-01 12:50:00,Clothing,5
2024-01-01 13:10:00,Home & Garden,6
2024-01-01 14:25:00,Books,7
2024-01-01 15:40:00,Clothing,8
2024-01-01 16:55:00,Electronics,9
2024-01-01 17:30:00,Toys,10
2024-01-02 08:00:00,Electronics,11
2024-01-02 09:15:00,Books,12
2024-01-02 10:30:00,Clothing,13
2024-01-02 11:45:00,Home & Garden,14
2024-01-02 12:00:00,Electronics,15
2024-01-02 13:20:00,Books,16
2024-01-02 14:40:00,Toys,17
2024-01-02 15:55:00,Clothing,18
2024-01-03 09:00:00,Electronics,19
2024-01-03 10:15:00,Books,20
2024-01-03 11:30:00,Home & Garden,21
2024-01-03 12:45:00,Clothing,22
2024-01-03 13:50:00,Electronics,23
2024-01-03 14:10:00,Toys,24
2024-01-03 15:30:00,Books,25
2024-01-03 16:45:00,Clothing,26
2024-01-04 08:20:00,Electronics,27
2024-01-04 09:40:00,Home & Garden,28
2024-01-04 10:55:00,Books,29
2024-01-04 11:10:00,Clothing,30
2024-01-04 12:30:00,Toys,31
2024-01-04 13:50:00,Electronics,32
2024-01-04 14:05:00,Books,33
2024-01-04 15:25:00,Clothing,34
